Datum	Lokacija	Organizator / Izvođač	Aktivnost (Naziv i kratak opis događaja)	Linkovi	Kategorija
09.08.2011.	Ul. Borelli 3, Zadar	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.)  Čehov: Tri sestre, II čin Maškare / III čin Požar (koreodrama, radionica) Red. Kor. Jasna Frankić Brkljačić  		
09.08.2011.	Ul. Borelli 3, Zadar	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.) Čehov: Tri sestre, IV. čin Sapunica (koreodrama, radionica) Red. Kor. Jasna Frankić Brkljačić 		
09.08.2011.	Sv. Donat	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.)  REVIJA KRATKOG FILMA                                                                               Hrvatski kratki film: Odlasci   Prva! │ Red. Silva Ćapin │2011 │ 8' Visibabe │Red. Ivica Mušan │ 2010 │ 19' Uspavanka │Red. Jadran Puharić │2010 │ 18' Zima │ Red. Denis Lepur and Marko Stanić │2011 │ 15' Zagorski specijalitet │Red. David Kapac │2011 │4 		
10.08.2011.	Sv. Dominik	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.) Kraljevsko pozorište Zetski dom, Cetinje, Crna Gora: Rozamunda (postdramsko kazalište) prema Drame princeza: Djevojka i smrt, Elfriede Jelinek Red. Senka Bulić │Perf. Tihana Ćulafić, Marinko Leš Rozamunda je treći dramolet iz ciklusa „Drame princeza“. Glavne uloge igraju Tihana Ćulafić i Marinko Leš, u trajanju od 60 minuta prikazali su svu sirovost i seksualnost svog odnosa. Režiju potpisuje Senka Bulić,a scenografiju Tomislav Ćurković.	http://blog.vecernji.hr/iva/2011/08/12/rozamunda-%E2%80%93-seksualnost-i-nerealizirana-tekstualnost/ http://www.ezadar.hr/clanak/veceras-rozamunda-senke-bulic http://www.benkovacdanas.hr/clanak/kultura/kazaliste/Poigravanje-seksualnim-motivima/402 http://danas.net.hr/kultura/najnoviju-pricu-senke-bulic-ne-biste-trebali-propustiti 	
10.08.2011.	Sv. Donat	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.)  REVIJA KRATKOG FILMA                                                                            Hrvatski kratki film: Erotske igre  Igra tucanja | Red. Josip Žuvan | 2010 | 7' Igra tucanja | Red. Daina Oniunas Pusić | 2009 | 14' Adieu, N | Red. Barbara Vekarić | 2011 | 14' Zimica | Red. Hana Jušić | 2011 | 10' Mi na suncu | Red. Neda Radić | 2011 | 7' Igra tucanja | Red. David Kapac | 2009 | 6'  Strejt pul | Red. Filip Šovagović | 2011 | 12' Samo smo se poljubili | Red. Kristina Vuković | 2011 | 12' 		
11.08.2011.	Forum Zadar	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.)    Selma Banich, Zagreb, Hrvatska:  Hrvatica(performans) 	http://www.zadarskilist.hr/clanci/09082011/za-svakog-ponesto	Performans
11.08.2011.	Forum Zadar	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.)          Via Negativa, Ljubljana, Slovenija:  Miting istine  (javni cabaret, premijera) Aut. Perf. Boris Kadin │Umj. dir. Bojan Jablanovec  U sklopu manifestacije Zadar Snova ispred crkve sv. Donata izveden je performans „Rad Via Negative“. „Miting Istine“ je svojevrsni crni cabaret, posveta svim ovcama zbog kojih smo danas to što jesmo.	http://www.voxportal.hr/vijest/miting-istine-okupio-brojne-posjetitelje/13988.html http://www.zadarskilist.hr/clanci/13082011/kako-je-boris-postao-doris http://www.culturenet.hr/default.aspx?id=39009 	
11.08.2011.	galerija ZadArt	udruga ZadArt / zadarski fotograf Jerolim Vulić	JEROLIM VULIĆ IZLAŽE „OTKRIVANJE“                                                            U prostorijama Udruge „ZadArt“  od 11. kolovoza svoje fotografske radove izlaže zadarski fotograf Jerolim Vulić. Vulić se javnosti predstavlja prvom izložbom u Salima s još četvoricom fotografa okupljenih pod nazivom „5.exe“ čiji je zajednički nazivnik nekonvencionalno izlaganje fotografija. 	http://www.ezadar.hr/clanak/otkrivanje-jerolima-vulica-u-zadartu http://www.zadarskilist.hr/clanci/13082011/otvorena-izlozba-fotografija-jerolima-vulica  	Fotografija
11.08.2011.	Sv. Donat	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.)     REVIJA KRATKOG FILMA                                                                             Kratki su bitni - Filmovi nominirani za nagradu Europske filmske akademije    Tussilago│Švedska │animacija │2010 │ 14′ Lumikko│ Mala snježna životinja│ Finska│ dokumentarni│ 2009 │ 19′ Venus vs Me│ Venera protiv mene │Belgija │igrani │ 2009 │ 27′ Blijf Bij Me, Weg│ Ostani podalje│ Nizozemska│igrani│2009 │ 24' Rendez Vous A Stella-Plage│ Sastanak u Stella-Plageu│ Francuska│igrani│2009 │ 18′ 		
12.08.2011.	Sv. Dominik	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.)         Orian Theatre, Pariz, Francuska:  Beckett (fizičko kazalište) prema monodrami “Krappova posljednja vrpca“, Samuela Becketta  Red. Perf. Mehdi Farajpour U crkvi sv.Dominika gostovao je Orien teatar iz Pariza sa predstavom „Krappova posljednja vrpca“ prema djelu 'Krappova posljednja vrpca' majstora drame Nobelovca Samuela Becketta. 	http://www.ezadar.hr/clanak/pariski-orion-teatar-u-zadru-postavlja-becketta http://www.voxportal.hr/vijest/orien-teatar-i-teatar-a-part-zatvorili-festival/14110.html 	
12.08.2011.	Sv. Donat	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.) , REVIJA KRATKOG FILMA                                                                                 EFA: Kratki su bitni 2  Ampelmann │ Semafor│ Njemačka │igrani │ 2009 │ 14′ María’s Way │ Marijin način │UK, Španjolska│dokumentarni │2009 │ 16′ Itt Vagyok│Evo me │Hungary │igrani│2010 │ 36′ Ønskebørn │ Iz ljubavi│Danska│ dokumentarni│2009 │ 29′ Les Escargots De Joseph │ Josephovi puževi │Francuska │animacija │2009 │ 12′ 		
13.08.2011.	Sv. Dominik	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.)   Teatar A Part, Katowice, Poljska:  Klepsydra  (fizičko kazalište) Red. Marcin Herich │Koaut. Perf. Monika Wachowicz Teatr A Part stvara autorske projekte metodom vizualnog pripovijedanja. "Klepsydra" je intimni solo u senzibilnoj izvedbi Monike Wachowicz, spoju poezije tijela, gesti i emocija. "Klepsydra" je portret tridesetogodišnje žene, ilustracija boli, patnje i nepodnošljive samoće. Njeno je tijelo tek komad mesa oko beživotnog srca. Njena duša traži svoje utočište među Zaboravljenima.	http://www.monitor.hr/clanci/zadnja-vecer-zadra-snova/160772/ http://www.ezadar.hr/clanak/klepysdra-veceras-u-crkvi-sv-dominika 	
13.08.2011.	Sv. Donat	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.)    REVIJA KRATKOG FILMA                                                                               EFA: Kratki su bitni 3  Talleres Clandestinos │Austrija, Argentina │igrani│2010 │ 40′ Hanoi - Warszawa │ Hanoi – Varšava│Poljska │igrani│2009 │ 30′ Diarchia │ Dijarhija │ Italija│igrani │2010 │ 20′ Amor │Norveška │ igrani │2009 │ 14′ The External World │ Vanjski svijet │Njemačka │ animacija │2010 │ 15′ 		
13.08.2011.	Trg mudrosti, Diklo	Udruga za promicanje kulture Ružarica Diklo	KONCERT GRUPE BULLEUTHERION                                                      Povodom završetka manifestacije „Dani Dikla“  13.08. koncert je održala metal rock grupa Bulleutherion u organizaciji Udruge za promicanje kulture Ružarica-Diklo.	http://www.ezadar.hr/clanak/pocinju-dani-dikla-2011	Glazba
13.08.2011.	Trg pet bunara, Zadar	Šigureca	NASTUP BENDA THE BOUNCING SOULS                                                         U organizaciji udruge Šigureca 13.08. na Trgu pet bunara nastupili su članovi legendarnog punk rock sastava The Bouncing souls iz New Jerseyja. Kao predgrupe na ovom koncertu nastupila su dva zadarska benda sa alternativne scene- Rewolti i Crasso de Odio.	http://www.ezadar.hr/clanak/warm-up-party-prije-koncerta-the-bouncing-souls http://tzzadar.hr/hr/dogadanja/koncerti/29-06-2011/the-bouncing-souls 	Glazba
14.08.2011.	HNK Zadar	Zadar snova	MEĐUNARODNI FESTIVAL ZADAR SNOVA (08. -14.08.2011.) Santasangre, Rim, Italija: OTKAZANO Seigradi (crossover) Autori Diana Arbib, Luca Brinchi, Maria Carmela Milano, Dario Salvagnini, Pasquale Tricoci, Roberta Zanardo │Perf. Roberta Zanardo                                                                                                             Udruga Zadar snova izvijestila je javnost o otkazivanju posljednjeg programa ovogodišnjeg festivala. Budući da je Hrvatsko narodno kazalište zbog odluke o početku radova u dvorani otkazala dogovoreni najam za dvoranu, udruga je bila prisiljena izvijestiti javnost o raskidanju ugovora na štetu festivala i građana. 	http://www.kupus.net/hologramima-ulaz-zabranjen/http://www.hrt.hr/index.php?id=ispis&tx_ttnews[tt_news]=126109&cHash=b92ae877c5 http://www.057info.hr/kultura/2011-08-12/zadar-snova-bez-finala 	
15.08.2011.	ostatci crkve Stomorica Zadar	Šigureca	GLAZBENA JUTRA- OVE GODINE ODRŽAN JE SAMO JEDAN KONCERT                                                                                                      15.kolovoza održan je jedini koncert u ostacima crkve „Stomorica“, riječ je o zadarskom bendu Pacific Bullets koji izvodi r'nr', rockabilly, rhythm 'n' blues i rock obrade odnosno glazbu 50-ih i 60-ih godina prošlog stoljeća	http://www.ezadar.hr/clanak/nastavljaju-se-glazbena-jutra-u-stomorici http://www.voxportal.hr/vijest/pacific-bullets-u-stomorici/14095.html http://www.znet.hr/2011/08/glazbena-jutra-od-15-8/ http://www.zadarskilist.hr/clanci/17082011/napravljen-je-dobar-susur-i-sad-cekaju-bolje-dane  	Glazba
16.08.2011.	Izložbeni prostor Muzeja grada	udruga ArtForum	INTERKUKLTURALNA ART PROMOCIJA                                           16.kolovoza u izložbenom prostoru Muzeja grada, zadarskoj javnosti predstavljena je u svom petom sazivu likovna izložba INTERKULTURALNA-ART-PROMOCIJA-ZADAR-2011. Uz autore iz različitih gradova svojim likovnim ostvarenjima predstavljaju i brojni umjetnici iz različitih država svijeta što korespondira s idejom kulturalnosti . Na izložbi izlaže sveukupno 26 umjetnika i umjetnica.	http://www.zadarskilist.hr/clanci/13012011/pred-nama-je-peta-jubilarna--interkulturalna-art-promocija http://www.ezadar.hr/clanak/boris-zuza-art-promocija-zadar-povezuje-umjetnike-i-iskazuje-univerzalnost-ljudske-i-esteticke-poruke http://www.ezadar.hr/clanak/art-promocija-zadar-2011-estetika-istinskih-vrijednosti-umjetnickih-dusa http://www.voxportal.hr/vijest/interkulturalna-art-promocija-u-zadru/13959.html http://www.zadarskilist.hr/clanci/29122011/zuza-s-interkulturalnom-art-promocijom-upoznali-smo-siru-javnost http://www.zadarskilist.hr/clanci/29112011/interkulturalna-art-promocija-u-zagrebu  	Slikarstvo
18.08.2011.			REWOLTI SPOTOM NAJAVILI IZLAZAK ALBUMA                             Zadarski melody punk-rock bend rewolti su započeli snimanje svog prvog spota koji najavljuje izlazak novog albuma. Bend čine Tomislav Jerak, Marko Lovrinov, Damir Medić, Marko Kalanj i Sebastian Jerolimov. 	http://www.voxportal.hr/vijest/rewolti-spotom-najavili-izlazak-albuma/14263.html	Glazba
25. i 26.08.2011	ispred zgrade Kazališta lutaka	Teatar VeRRdi	TEATRO VERRDI - KRAĐA IDENTITETA                                                      Ispred nove zgrade Kazališta lutaka izvedena je premijera predstave „Krađa identiteta“ u produkciji Teatra Verrdi. Riječ je o predstavi koja je napravljena za Zadar Film Festival koju je osmislio i režirao kanadski režiser Michael Devine. „Krađa identiteta/identity theft“  je crna komedija koja ujedinjuje predstavu uživo i multimediju a u ulogama su: Jelena Karoglan, Sanja Zalović, Ivana Jenjić, Martina Rajzl, Ana Kolega, Miro Pucar, i Milan-Miočić Stošić. Vizualni identitet predstave potpisuje Tomislav Bišćan, a tehničko oblikovanje Tomislav Kraljević Shome.	http://www.zadarskilist.hr/clanci/25082011/borba-za-vlastiti-identitet http://www.zadarskilist.hr/clanci/05102011/tesko-mi-je-jer-volim-polako-pripremati-i-graditi-ulogu http://www.ezadar.hr/clanak/krada-identiteta-moderna-predstava-u-staroj-gradskoj-jezgri http://www.ezadar.hr/clanak/veceras-premijera-predstave-krada-identiteta http://www.ezadar.hr/clanak/predstava-krada-identiteta 	Multimedijalna kazališna predstava
29. – 30.08.2011	Sv, Dominik	Zadarski plesni ansambl	MONOPLAY                                                                                                                   Dugo najavljivani festival solo plesa održan je u sv. Dominiku kao jedini festival ovoga tipa. Predstavilo se 13 plesača kroz dva dana festivala. Prvu večer plesali su plesači zadarske nezavisne scene, a skupina De facto sa predstavom „Love will tear us apart“. Na kraju festivala je održana premijera predstave „Solo One“ autorice Natali Radelić, kojoj je ovo prvi nastup u Hrvatskoj.	http://www.ezadar.hr/clanak/monoplay-moc-tijela-u-pokretu http://www.zadarskilist.hr/clanci/31082011/vitalnost-i-razvoj-zadarske-plesne-scene http://www.voxportal.hr/vijest/zavrsen-ovogodisnji-festival-solo-plesa-monoplay/14910.html http://www.voxportal.hr/vijest/zapoceo-monoplay-festival-plesnog-sola/14827.html http://www.tzzadar.hr/hr/dogadanja/festivali/24-08-2011/monoplay-3-festival-sola http://www.plesnascena.hr/index.php?p=article&id=1349 	Suvremeni ples (Festival plesnog sola)
09.09.2011.	Dvorište Kazališta lutaka	Šigureca	RAKURS 5 PRVA IZLOŽBA NAKON LJETNE STANKE                                   Na otvorenju prve izložbe nakon ljetne stanke teme su bile „Hitchok hommage“ i „Pin-up 21. Stoljeća“. Posjetitelji isključivo na otvorenju mogu vidjeti radove koje su poslali fotografi koji su se izrazili na zadanu temu.	http://www.ezadar.hr/clanak/rakurs-5-s-posvetom-hitchcocku-i-pin-upu-21-stoljeca http://www.zadarskilist.hr/clanci/14032011/zaustavljene-ekspresije-ozivjele-zidove-grada 	Fotografija
14.09.2011.	Dvorište Kneževe palače	Redateljica Vjera Vidov	DECIPULA PONOVNO U KNEŽEVOJ PALAČI                                           Kazališna skupina „U biti“ koja djeluje zajedno sa Teatrom Verrdi tijekom manifestacije  Zadar snova premijerno je igrala predstavu „Decipula“. Predstava je režijski prvijenac glumice Vjerice Vidov u  kojoj se isprepliće punk glazba sa suvremenim plesom i opernim pjevanjem. U predstavi glume Vedran Miočić-Stošić, Iva Burčul i Marta Musap.	http://www.zadarskilist.hr/clanci/16092011/predstava-razumljiva-svakom-gledatelju http://www.ezadar.hr/clanak/sinergija-opere-plesa-i-punkahttp://www.voxportal.hr/fotogalerija/predstava-decipula/424.html http://www.ezadar.hr/clanak/veceras-decipula-teatra-verrdi-u-knezevoj-palaci http://www.zadarskilist.hr/clanci/12092011/prva-repriza-decipule-u-knezevoj-palaci http://www.zadarskilist.hr/clanci/20092011/vjera-vidov-u-decipulu-sam-pretocila-svoje-emocije 	Multimedijalna kazališna predstava ?
17.09.2011.	Kneževa palača	Šigureca	NASTUP  LEUT MAGNETIKA                                                                                 U organizaciji udruge Šigureca,  17. rujna u Kneževoj palači nastupio je sastav Leut Magnetik i to nakon trogodišnje stanke u aktivnom djelovanju. Leut Magnetik je elektro-punk-pop iza kojeg su dva nosača zvuka od kojih je jedan 2006. Dobio nagradu Porin u kategoriji najboljeg albuma urbane glazbe.	http://www.ezadar.hr/clanak/leut-magnetik-16-rujna-u-zadru http://www.voxportal.hr/vijest/leut-magnetik-nastupio-pred-zadranima/15702.html http://www.zadarskilist.hr/clanci/19092011/leut-magnetik-predstavio-novi-materijal http://www.zadarskilist.hr/clanci/10092011/umjetnicki-program-za--popularizaciju-arhitekata  	Glazba
22.09.2011.	caffe bar Jazz Va	caffe bar Jazz Va ?	“Jazzva” posvećuje večer poeziji Đorđe Balaševića 	http://www.ezadar.hr/clanak/jazzva-posvecuje-vecer-poeziji-dorde-balasevica	Književnost
29.09.2011.	caffe bar Jazz Va		DRUŽENJE UZ STIHOVE ARSENA DEDIĆA                                                       29. rujna ljubitelji poezije su se okupili u caffe baru „Jazz Va“ na večeri poezije. Osim  večeri poezije četvrtkom,  s ciljem promocije mladih pjesnika, utorkom navečer održavat će se „Kada doše mojih pet minuta, sat stane“, a upravo će Želimir Periš biti prvi koji će se predstaviti sa svojim radovima.	http://www.ezadar.hr/clanak/jazz-va-voli-arsena	Književnost
05.10.2011.	caffe bar Kantun	Vinko Barić	PROMOCIJA KNJIGE „HRVATSKI PUNK I NOVI VAL 1976-1987               05. listopada održana je promocija knjige Vinka Barića prema odabiru autora u caffe baru Kantun u Varoši.Knjiga je iscrpno djelo u kojem je detaljno prikazana era hrvatskog punka i novog vala u navedenom razdoblju zajedno s opisnim biografijama 125 poznatih i manje poznatih lokalnih bendova.	http://www.ezadar.hr/clanak/punk-i-novi-val-kako-ga-vidi-vinko-baric http://www.ezadar.hr/clanak/vinko-baric-punk-nije-mrtav http://blog.vecernji.hr/iva/2011/10/06/vinko-baric-punk-nije-mrtav/ 	Književnost ?
25.10.2011.	caffe bar Jazz Va	Zapis	JAZZ VA  I ZAPIS                                                                                                  Povodom Mjeseca  Hrvatske knjige koji je ove godine posvećen poeziji, caffe bar Jazz Va ugostio je članove Za Pisa. Okupljenima predstavio se Boško Habuš, Iva Pejković, Tihana Gambiraža, i Andrea Malta.	http://zapis.hr/?p=255	Književnost
28.10.2011.	HNK Zadar	Zadarski plesni ansambl	ZADARSKI PLESNI ANSAMBL  „EN FACE“                                                     ZAP proslavio je 20 godina djelovanja izvođenjem plesne predstave „En Face“ na daskama HNK Zadar, no nažalost pred iznimno malobrojnom publikom. Osim plesa, posjetitelji su u foajeu mogli razgledati izložbu s kojom je prikazan rad ansambla u proteklih 20 godina.	http://www.tzzadar.hr/hr/dogadanja/kazaliste/21-10-2011/zadarski-plesni-ansambl-en-face http://blog.vecernji.hr/iva/2011/10/30/plesni-ansambl-koji-je-postao-dio-zadarskog-identiteta/ http://www.zadarskilist.hr/clanci/31102011/zadarski-plesni-ansambl---stup-zadarskog-suvremenog-plesnog-izraza http://www.voxtv.hr/vijesti/zadarski-plesni-ansambl-obiljezio-20-godina-postojanja  	Plesna predstava
09.11.2011.	Multimedijalna dvorana Gradske knjižnice	Zapis	DRUŽENJE ZAPISA U GKZD                                                                                     U Multimedijalnoj dvorani Gradske knjižnice sastali su se članovi Zadarske udruge pisaca „ZaPis“ kako bi zajedno sa posjetiteljima dali svoj doprinos akciji „ Čitajmo pjesnike“koja se održava u sklopu Mjeseca hrvatske knjige. Zapisovci su osim svojih djela čitali i hrvatske pjesnike pa su se tu mogle čuti pjesme Borisa Marune, djela Ivane Šojat Kuči te pjesme na katalonskom i slovenskom jeziku.	http://www.voxportal.hr/vijest/promovirali-akciju-citajmo-pjesnike/17992.html http://zapis.hr/?p=205 	Književnost
21.11.2011.	HNK Zadar	Zadarski plesni ansambl	BOŽIĆNA ČESTITKA ZPA                                                                                 Zadarski plesni ansambl Zadranima je priredio  „Priču o Orašaru i djevojčici Klari“. Plesna predstava sastojala se od 11 točaka, a kroz priču  su publiku vodili Vinko Radovčić i Jelena Karoglan.	http://www.ezadar.hr/clanak/plesna-bajka-orasar-zadarsku-publiku-odvela-na-carobno-bozicno-putovanje http://www.zadarskilist.hr/clanci/22122011/i-zadar-svog-orasara-ima http://www.zadarskilist.hr/clanci/15122011/plesna-cestitka-za-kraj-godine http://www.voxportal.hr/vijest/bozicna-cestitka-glazbene-zadarskog-plesnog-ansambla/19416.html 	Plesna predstava
23.11.2011.	Kazalište lutaka Jazine	Teatar VeRRdi u koprodukciji Mavene i kazališta Glej	„SCREAM“  U KOPRODUKCIJI KAZALIŠTA GLEJ, MAVENE I TEATRA 23. studenog u dvorani Kazališta lutaka Zadar, u Jazinama, Teatro Verrdi organizira gostovanje i zadarsku premijeru predstave „Scream“ koja je svoju ljubljansku premijeru ostvarila 7.lipnja 2011., a nakon Zadra gostovat će u Splitu i Zagrebu. Koncept predstave potpisuje Boris Kadin, dramatizaciju Natasha Kadin, a performeri su Davor Kovač i Aja Kobe. Dizajn zvuka osmislili su Juraj Aras i Boris Kadin, a tehnički direktor i suradnik su Grega Mohorčić i Borut Bučinel.	http://www.ezadar.hr/clanak/teatro-verrdi-donosi-premijeru-predstave-scream http://www.plesnascena.hr/index.php?p=article&id=1408	Kazališna predstava
03.12.2011.	caffe bar Jazz Va	Đorđe Glušić	PRVO SAMOSTALNO IZLAGANJE ĐORĐA GLUŠIĆA                                         3. prosinca 2011. Mladi umjetnik Đorđe  Glušić otvorio je svoju samostalnu izložbu slika. Izložba „Retroperspektiva“  proizlazi iz suvremenog akta bezvremenskog mističnog bića s naglaskom na akordičan oblik, intenzitet boja i usklađenost izražaja.	http://www.ezadar.hr/clanak/retrospektiva-dorde-glusica-u-subotu-u-jazzvi  	Slikarstvo
10.12.2011.	Bunker, Zadar	Šigureca	OPROŠTAJ OD BUNKERA- ODRŽAN CJELODNEVNI KONCERT „POSLJEDNJI ZGONG“                                                                                          10.12. 2011. Udruga Šigureca organizirala je cjelodnevni koncert na kojem su nastupili bendovi koji su devedesetih žarili zadarskom scenom kako bi ispratili legendarni bunker i oodali počast preminulim akterima zadarske scene. Nastupili su E.N.D., ZYON, Izvan kontrole, Misterscon, Trn u oku, Jelly Belly i Dark Ages, Stagediving, D Glad, koks, Anabell Lee, Just Fine, Zašto Meni?, Alergija, Neron Freaks, Ja i Bosna te specijalni gosti iz Splita, Ilija i Zrno Žita.	http://www.ezadar.hr/clanak/povratak-u-bunker-na-posljednji-zgong http://www.ezadar.hr/clanak/kampo-kastelo-posljednji-zgong http://www.zadarskilist.hr/clanci/02122011/koncerti-bendova-koji-su-obiljezili-90-godine-u-zadru http://www.zadarskilist.hr/clanci/24112011/posljednje-sjecanje-na-bunker http://www.voxportal.hr/vijest/zadarski-alternativci-svirali-od-jutra-do-mraka/19106.html http://www.057info.hr/zabava/2011-12-12/bunker-pod-opsadom-zadarske-alternative 	Glazba
22.12.2011.	Galerija Državnog arhiva Zadar	udruga ArtForum	TRADICIONALNA IZLOŽBA ARTFORUMA                                                          U izložbenim prostorijama Državnog arhiva otvorena je Godišnja izložba likovne udruge Art Forum koja je prošle godine proslavila 15 godina djelovanja. Radove je izložilo 20 umjetnika i umjetnica. Izložba nosi naziv „Ljepota različitosti“ te sadržava radove koji su nastali tijekom 2011.godine.	http://www.ezadar.hr/clanak/drzavni-arhiv-otvorenje-izlozbe-udruge-art-forum-zadar-22-prosinca  	Slikarstvo
22.12.2011.	HNK Zadar	Plesni studio Zalet	PLESNI STUDIO ZALET IZVEO PLESNU PREDSTAVU                                Plesni studio Zalet u HNK u predstavio je svoju božićnu plesnu čestitku. Priča nosi naziv „Kako je Tiboru nedostajala Jela“, a plesalo je 80-ak članova Zaleta. Autorica priče i koreografkinja je Iva Burčul, a za ilustracije i likove pobrinuo se Marin Franić	http://www.ezadar.hr/clanak/originalnom-multimedijalnom-cestitkom-zalet-osvojio-srca-publike	Multimedijalna predstava
